taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
43,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Acanthaeschna,Acanthaeschna victoria,"Martin, 1901",,,,EN,Thylacine Darner
83,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,Acanthomyops latipes,"(Walsh, 1863)",,,,VU,
169,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bellula,"Smith, 1873",,,,CR,
179,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella decora,"(Férussac, 1821)",,,,EX,
190,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella lorata,"(Férussac, 1824)",,,,CR,
201,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella taeniolata,"Pfeiffer, 1846",,,,CR,
213,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,ACHEILOGNATHIDAE,Acheilognathus,Acheilognathus longipinnis,"Regan, 1905",,,,EN,Deepbodied Bitterling
225,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser nudiventris,"Lovetsky, 1828",,,,CR,Ship Sturgeon
236,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser sinensis,"Gray, 1835",,,,CR,Chinese Sturgeon
254,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser stellatus,"Pallas, 1771",,,Caspian Sea subpopulation,CR,Stellate Sturgeon
270,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys mullah,"Thomas, 1904",,,,LC,Mullah Spiny Mouse
313,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Acrodipsas,Acrodipsas illidgei,"(Waterhouse &amp; Lyell, 1914)",,,,EN,Illidge's Ant-blue
506,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella laciniosa,"(R.T. Lowe, 1852)",,,,VU,
523,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,ADRIANICHTHYIDAE,Adrianichthys,Adrianichthys kruyti,"Weber, 1913",,,,CR,Duck-billed Buntingi
550,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Aepyceros,Aepyceros melampus,"(Lichtenstein, 1812)",,,,LC,Impala
568,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys bocagei,"(Thomas, 1904)",,,,LC,Bocage's Rock Rat
593,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMONAUTIDAE,Afrithelphusa,Afrithelphusa gerhildae,"Bott, 1969",,,,DD,
624,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Agabus,Agabus hozgargantae,"Burmeister, 1983",,,,EN,
706,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Agrotis,Agrotis kerri,"Swezey, 1920",,,,CR,Kerr's Noctuid Moth
727,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neomicroxus,Neomicroxus bogotensis,"(Thomas, 1895)",,,,LC,Bogota Grass Mouse
739,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,Akodon kofordi,"Myers &amp; Patton, 1989",,,,LC,Koford's Grass Mouse
752,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,Akodon orophilus,"Osgood, 1913",,,,LC,El Dorado Grass Mouse
763,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,Akodon toba,"Thomas, 1921",,,,LC,Chaco Grass Mouse
778,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Alasmidonta,Alasmidonta wrightiana,"(Walker, 1901)",,,,EX,Ochlockonee Arcmussel
811,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Alcelaphus,Alcelaphus buselaphus,"(Pallas, 1766)",,,,LC,Hartebeest
851,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,Allactaga balikunica,"Hsia &amp; Fang, 1964",,,,LC,Balikun Jerboa
862,ANIMALIA,ARTHROPODA,MALACOSTRACA,ANASPIDACEA,ANASPIDIDAE,Allanaspides,Allanaspides helonomus,"Swain, Wilson, Hickman &amp; Ong, 1970",,,,VU,Tasmanian Anaspid Crustacean
874,ANIMALIA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,Allocrangonyx,Allocrangonyx pellucidus,"Mackin, 1935",,,,VU,Oklahoma Cave Amphipod
886,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aloeides,Aloeides carolynnae,"Dickson, 1983",,,,VU,
898,ANIMALIA,ARTHROPODA,BRANCHIOPODA,DIPLOSTRACA,CHYDORIDAE,Alona,Alona smirnovi,"Petkovsky &amp; Flossner,1972",,,,VU,
918,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,Alouatta ululata,"Elliot, 1912",,,,EN,Maranhão Red-handed Howler Monkey
942,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Alsophis,Alsophis rufiventris,"(Duméril, Bibron &amp; Duméril,1854)",,,,VU,Orange-bellied Racer
958,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,Alticola strelzowi,"(Kastschenko, 1899)",,,,LC,Flat-headed Vole
989,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,AMASTRIDAE,Amastra,Amastra albolabris,Newcomb,,,,EX,
999,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,AMASTRIDAE,Amastra,Amastra tenuispira,Newcomb,,,,EX,
1080,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCOPSIFORMES,AMBLYOPSIDAE,Amblyopsis,Amblyopsis spelaea,"DeKay, 1842",,,,NT,Northern Cavefish
1119,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE,Pholidoscelis,Pholidoscelis cineraceus,"(Barbour &amp; Noble, 1915)",,,,EX,Guadeloupe Ameiva
1154,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,FURIPTERIDAE,Amorphochilus,Amorphochilus schnablii,"Peters, 1877",,,,VU,Smoky Bat
1170,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Amphorella,Amphorella melampoides,"(R.T. Lowe, 1831)",,,,LC,
1258,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ANCHARIIDAE,Gogo,Gogo brevibarbis,"(Boulenger, 1911)",,,,DD,Vaona
1285,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Anergates,Anergates atratulus,"(Schenck, 1852)",,,,VU,
1296,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,TATEIDAE,Fluvidona,Fluvidona petterdi,"(Smith, 1882)",,,,CR,
1550,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ANOMALURIDAE,Anomalurus,Anomalurus derbianus,"(Gray, 1842)",,,,LC,Lord Derby's Scaly-tailed Squirrel
1581,ANIMALIA,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Antechinomys,Antechinomys laniger,"(Gould, 1856)",,,,LC,Kultarr
1675,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Antichthonidris,Antichthonidris bidentatus,"(Mayr, 1887)",,,,VU,
1787,ANIMALIA,ARTHROPODA,MALACOSTRACA,ISOPODA,CIROLANIDAE,Antrolana,Antrolana lira,"Bowman, 1964",,,,VU,Madison Cave Isopod
1843,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,APHANIIDAE,Anatolichthys,Anatolichthys anatoliae,"(Leidenfrost, 1912)",,,,NT,Lake Tuz Killifish
1869,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,APLODONTIIDAE,Aplodontia,Aplodontia rufa,"(Rafinesque, 1817)",,,,LC,Mountain Beaver
1900,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apodemus,Apodemus ponticus,"Sviridenko, 1936",,,,LC,Caucasus Field Mouse
1912,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apomys,Apomys insignis,"Mearns, 1905",,,,LC,Mindanao Montane Forest Mouse
1950,ANIMALIA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PARAMELITIDAE,Aquadulcaris,Aquadulcaris pheronyx,"(Stewart &amp; Griffiths, 1992)",,,,CR,
2055,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus australis,"(Zimmermann, 1783)",,,,LC,South American Fur Seal
2068,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Arctodiaptomus,Arctodiaptomus burduricus,"Kiefer, 1939",,,,VU,
2103,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Trimenia,Trimenia malagrida ssp. cedrusmontana,"(Dickson &amp; Stephen, 1975)",ssp.,cedrusmontana,,LC,Scarce Mountain Copper
2117,ANIMALIA,ARTHROPODA,BRANCHIOPODA,ANOSTRACA,ARTEMIIDAE,Artemia,Artemia monica,"Verrill, 1869",,,,LR/cd,Mono Lake Brine Shrimp
2130,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Enchisthenes,Enchisthenes hartii,"(Thomas, 1892)",,,,LC,Velvety Fruit-eating Bat
2146,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,Arvicanthis nairobae,"J.A. Allen, 1909",,,,LC,Nairobi Grass Rat
2161,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,Asiagomphus,Asiagomphus yayeyamensis,"(Matsumura in Oguma, 1926)",,,,EN,
2182,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Assiminea,Assiminea pecos,"Taylor, 1987",,,,EN,Pecos Assiminea
2194,ANIMALIA,CHORDATA,ACTINOPTERYGII,CICHLIFORMES,CICHLIDAE,Haplochromis,Haplochromis brownae,"Greenwood, 1962",,,,CR,
2276,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,Ateles belzebuth,"É. Geoffroy, 1806",,,,EN,White-bellied Spider Monkey
2297,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BATRACHYLIDAE,Atelognathus,Atelognathus reverberii,"(Cei, 1969)",,,,VU,Laguna Raimunda Frog
2377,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PAPILIONIDAE,Atrophaneura,Atrophaneura luchti,"(Gray, 1852)",,,,EN,
2406,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Auriculella,Auriculella crassula,"Smith, 1915-1916",,,,DD,
2422,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Protolinitis,Protolinitis pusilla,"(Hedley, 1912)",,,,LR/nt,Tinaroo Red-striped Snail
2434,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Avahi,Avahi laniger,"(Gmelin, 1788)",,,,VU,Eastern Woolly Lemur
2466,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Baiomys,Baiomys taylori,"(Thomas, 1887)",,,,LC,Northern Pygmy Mouse
2480,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera bonaerensis,"Burmeister, 1867",,,,NT,Antarctic Minke Whale
2553,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Barbastella,Barbastella barbastellus,"(Schreber, 1774)",,,,NT,Barbastelle Bat
2572,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Enteromius,Enteromius treurensis,"Groenewald, 1958",,,,CR,Treur River Barb
