Date,Population_Data,Regression_Data,LSTM_Data,S_Data
1900-01-01,4000.0,,,
1900-02-01,4045.0,,,
1900-03-01,3944.0,,,
1900-04-01,4027.0,,,
1900-05-01,4116.0,,,
1900-06-01,3950.0,,,
1900-07-01,3992.0,,,
1900-08-01,4135.0,,,
1900-09-01,3957.0,,,
1900-10-01,4005.0,,,
1900-11-01,4148.0,,,
1900-12-01,4172.0,,,
1901-01-01,4087.0,,,
1901-02-01,4075.0,,,
1901-03-01,4104.0,,,
1901-04-01,4110.0,,,
1901-05-01,4176.0,,,
1901-06-01,4153.0,,,
1901-07-01,4101.0,,,
1901-08-01,4063.0,,,
1901-09-01,4206.0,,,
1901-10-01,4100.0,,,
1901-11-01,4248.0,,,
1901-12-01,4167.0,,,
1902-01-01,4167.0,,,
1902-02-01,4166.0,,,
1902-03-01,4123.0,,,
1902-04-01,4167.0,,,
1902-05-01,4173.0,,,
1902-06-01,4242.0,,,
1902-07-01,4177.0,,,
1902-08-01,4269.0,,,
1902-09-01,4390.0,,,
1902-10-01,4270.0,,,
1902-11-01,4273.0,,,
1902-12-01,4238.0,,,
1903-01-01,4185.0,,,
1903-02-01,4296.0,,,
1903-03-01,4118.0,,,
1903-04-01,4232.0,,,
1903-05-01,4410.0,,,
1903-06-01,4362.0,,,
1903-07-01,4342.0,,,
1903-08-01,4300.0,,,
1903-09-01,4178.0,,,
1903-10-01,4345.0,,,
1903-11-01,4247.0,,,
1903-12-01,4270.0,,,
1904-01-01,4261.0,,,
1904-02-01,4373.0,,,
1904-03-01,4428.0,,,
1904-04-01,4468.0,,,
1904-05-01,4424.0,,,
1904-06-01,4378.0,,,
1904-07-01,4353.0,,,
1904-08-01,4375.0,,,
1904-09-01,4248.0,,,
1904-10-01,4260.0,,,
1904-11-01,4410.0,,,
1904-12-01,4533.0,,,
1905-01-01,4355.0,,,
1905-02-01,4481.0,,,
1905-03-01,4392.0,,,
1905-04-01,4416.0,,,
1905-05-01,4343.0,,,
1905-06-01,4448.0,,,
1905-07-01,4381.0,,,
1905-08-01,4543.0,,,
1905-09-01,4422.0,,,
1905-10-01,4509.0,,,
1905-11-01,4502.0,,,
1905-12-01,4555.0,,,
1906-01-01,4499.0,,,
1906-02-01,4467.0,,,
1906-03-01,4528.0,,,
1906-04-01,4556.0,,,
1906-05-01,4525.0,,,
1906-06-01,4601.0,,,
1906-07-01,4360.0,,,
1906-08-01,4596.0,,,
1906-09-01,4576.0,,,
1906-10-01,4558.0,,,
1906-11-01,4719.0,,,
1906-12-01,4619.0,,,
1907-01-01,4593.0,,,
1907-02-01,4724.0,,,
1907-03-01,4615.0,,,
1907-04-01,4502.0,,,
1907-05-01,4691.0,,,
1907-06-01,4605.0,,,
1907-07-01,4684.0,,,
1907-08-01,4742.0,,,
1907-09-01,4510.0,,,
1907-10-01,4640.0,,,
1907-11-01,4724.0,,,
1907-12-01,4588.0,,,
1908-01-01,4602.0,,,
1908-02-01,4617.0,,,
1908-03-01,4651.0,,,
1908-04-01,4667.0,,,
1908-05-01,4833.0,,,
1908-06-01,4747.0,,,
1908-07-01,4653.0,,,
1908-08-01,4662.0,,,
1908-09-01,4731.0,,,
1908-10-01,4547.0,,,
1908-11-01,4765.0,,,
1908-12-01,4822.0,,,
1909-01-01,4739.0,,,
1909-02-01,4544.0,,,
1909-03-01,4783.0,,,
1909-04-01,4708.0,,,
1909-05-01,4580.0,,,
1909-06-01,4729.0,,,
1909-07-01,4604.0,,,
1909-08-01,4763.0,,,
1909-09-01,4696.0,,,
1909-10-01,4649.0,,,
1909-11-01,4761.0,,,
1909-12-01,4703.0,,,
1910-01-01,4785.0,,,
1910-02-01,4854.0,,,
1910-03-01,4974.0,,,
1910-04-01,4808.0,,,
1910-05-01,4794.0,,,
1910-06-01,4581.0,,,
1910-07-01,4858.0,,,
1910-08-01,4804.0,,,
1910-09-01,4742.0,,,
1910-10-01,4799.0,,,
1910-11-01,4812.0,,,
1910-12-01,4983.0,,,
1911-01-01,4888.0,,,
1911-02-01,4892.0,,,
1911-03-01,4770.0,,,
1911-04-01,5033.0,,,
1911-05-01,4849.0,,,
1911-06-01,4872.0,,,
1911-07-01,4898.0,,,
1911-08-01,4855.0,,,
1911-09-01,4957.0,,,
1911-10-01,4717.0,,,
1911-11-01,4911.0,,,
1911-12-01,5097.0,,,
1912-01-01,4963.0,,,
1912-02-01,4837.0,,,
1912-03-01,4885.0,,,
1912-04-01,4940.0,,,
1912-05-01,4953.0,,,
1912-06-01,4852.0,,,
1912-07-01,4740.0,,,
1912-08-01,4907.0,,,
1912-09-01,4966.0,,,
1912-10-01,4945.0,,,
1912-11-01,4915.0,,,
1912-12-01,5102.0,,,
1913-01-01,4886.0,,,
1913-02-01,5033.0,,,
1913-03-01,4931.0,,,
1913-04-01,5029.0,,,
1913-05-01,4978.0,,,
1913-06-01,5049.0,,,
1913-07-01,4904.0,,,
1913-08-01,4945.0,,,
1913-09-01,4821.0,,,
1913-10-01,4926.0,,,
1913-11-01,4988.0,,,
1913-12-01,4969.0,,,
1914-01-01,5024.0,,,
1914-02-01,5107.0,,,
1914-03-01,4955.0,,,
1914-04-01,5138.0,,,
1914-05-01,5117.0,,,
1914-06-01,4941.0,,,
1914-07-01,4971.0,,,
1914-08-01,5072.0,,,
1914-09-01,5066.0,,,
1914-10-01,5161.0,,,
1914-11-01,5002.0,,,
1914-12-01,5039.0,,,
1915-01-01,5163.0,,,
1915-02-01,5132.0,,,
1915-03-01,5043.0,,,
1915-04-01,4951.0,,,
1915-05-01,5109.0,,,
1915-06-01,5048.0,,,
1915-07-01,5132.0,,,
1915-08-01,4904.0,,,
1915-09-01,5140.0,,,
1915-10-01,5087.0,,,
1915-11-01,4862.0,,,
1915-12-01,5145.0,,,
1916-01-01,5112.0,,,
1916-02-01,5081.0,,,
1916-03-01,5116.0,,,
1916-04-01,5006.0,,,
1916-05-01,4838.0,,,
1916-06-01,5054.0,,,
1916-07-01,5016.0,,,
1916-08-01,5002.0,,,
1916-09-01,5053.0,,,
1916-10-01,5014.0,,,
1916-11-01,5082.0,,,
1916-12-01,5062.0,,,
1917-01-01,5050.0,,,
1917-02-01,5015.0,,,
1917-03-01,5071.0,,,
1917-04-01,4933.0,,,
1917-05-01,4981.0,,,
1917-06-01,5066.0,,,
1917-07-01,5040.0,,,
1917-08-01,5062.0,,,
1917-09-01,4965.0,,,
1917-10-01,5131.0,,,
1917-11-01,5071.0,,,
1917-12-01,4886.0,,,
1918-01-01,5072.0,,,
1918-02-01,4992.0,,,
1918-03-01,4904.0,,,
1918-04-01,4808.0,,,
1918-05-01,5123.0,,,
1918-06-01,4970.0,,,
1918-07-01,5102.0,,,
1918-08-01,4942.0,,,
1918-09-01,5080.0,,,
1918-10-01,4889.0,,,
1918-11-01,5068.0,,,
1918-12-01,5118.0,,,
1919-01-01,5123.0,,,
1919-02-01,5132.0,,,
1919-03-01,5010.0,,,
1919-04-01,5057.0,,,
1919-05-01,5150.0,,,
1919-06-01,5027.0,,,
1919-07-01,4952.0,,,
1919-08-01,5009.0,,,
1919-09-01,5099.0,,,
1919-10-01,5153.0,,,
1919-11-01,4960.0,,,
1919-12-01,5005.0,,,
1920-01-01,4947.0,,,
1920-02-01,4940.0,,,
1920-03-01,4988.0,,,
1920-04-01,5111.0,,,
1920-05-01,5022.0,,,
1920-06-01,4854.0,,,
1920-07-01,5320.0,,,
1920-08-01,5026.0,,,
1920-09-01,5029.0,,,
1920-10-01,5082.0,,,
1920-11-01,5130.0,,,
1920-12-01,4934.0,,,
1921-01-01,4995.0,,,
1921-02-01,5109.0,,,
1921-03-01,5002.0,,,
1921-04-01,5045.0,,,
1921-05-01,4893.0,,,
1921-06-01,4967.0,,,
1921-07-01,5003.0,,,
1921-08-01,5010.0,,,
1921-09-01,4911.0,,,
1921-10-01,5127.0,,,
1921-11-01,5072.0,,,
1921-12-01,5253.0,,,
1922-01-01,4976.0,,,
1922-02-01,4999.0,,,
1922-03-01,5062.0,,,
1922-04-01,5125.0,,,
1922-05-01,5009.0,,,
1922-06-01,5057.0,,,
1922-07-01,5132.0,,,
1922-08-01,4909.0,,,
1922-09-01,5120.0,,,
1922-10-01,4824.0,,,
1922-11-01,5037.0,,,
1922-12-01,5207.0,,,
1923-01-01,5009.0,,,
1923-02-01,5042.0,,,
1923-03-01,5205.0,,,
1923-04-01,4844.0,,,
1923-05-01,4980.0,,,
1923-06-01,5002.0,,,
1923-07-01,4882.0,,,
1923-08-01,5310.0,,,
1923-09-01,5046.0,,,
1923-10-01,5012.0,,,
1923-11-01,5105.0,,,
1923-12-01,5141.0,,,
1924-01-01,5108.0,,,
1924-02-01,5070.0,,,
1924-03-01,5102.0,,,
1924-04-01,5039.0,,,
1924-05-01,5089.0,,,
1924-06-01,5017.0,,,
1924-07-01,5123.0,,,
1924-08-01,4948.0,,,
1924-09-01,5064.0,,,
1924-10-01,4868.0,,,
1924-11-01,5230.0,,,
1924-12-01,5022.0,,,
1925-01-01,5097.0,,,
1925-02-01,4980.0,,,
1925-03-01,5023.0,,,
1925-04-01,4897.0,,,
1925-05-01,4794.0,,,
1925-06-01,5039.0,,,
1925-07-01,5152.0,,,
1925-08-01,5193.0,,,
1925-09-01,5059.0,,,
1925-10-01,5039.0,,,
1925-11-01,4940.0,,,
1925-12-01,4983.0,,,
1926-01-01,4933.0,,,
1926-02-01,4984.0,,,
1926-03-01,5092.0,,,
1926-04-01,5202.0,,,
1926-05-01,4972.0,,,
1926-06-01,5035.0,,,
1926-07-01,5047.0,,,
1926-08-01,5032.0,,,
1926-09-01,5155.0,,,
1926-10-01,5072.0,,,
1926-11-01,5035.0,,,
1926-12-01,5167.0,,,
1927-01-01,4967.0,,,
