Date,Population_Data,Regression_Data,LSTM_Data
1900-01-01,300.0,,
1900-02-01,281.0,,
1900-03-01,307.0,,
1900-04-01,301.0,,
1900-05-01,298.0,,
1900-06-01,298.0,,
1900-07-01,308.0,,
1900-08-01,287.0,,
1900-09-01,307.0,,
1900-10-01,297.0,,
1900-11-01,309.0,,
1900-12-01,307.0,,
1901-01-01,299.0,,
1901-02-01,293.0,,
1901-03-01,300.0,,
1901-04-01,295.0,,
1901-05-01,295.0,,
1901-06-01,303.0,,
1901-07-01,294.0,,
1901-08-01,295.0,,
1901-09-01,282.0,,
1901-10-01,298.0,,
1901-11-01,297.0,,
1901-12-01,300.0,,
1902-01-01,301.0,,
1902-02-01,297.0,,
1902-03-01,305.0,,
1902-04-01,307.0,,
1902-05-01,292.0,,
1902-06-01,292.0,,
1902-07-01,289.0,,
1902-08-01,295.0,,
1902-09-01,290.0,,
1902-10-01,290.0,,
1902-11-01,294.0,,
1902-12-01,293.0,,
1903-01-01,306.0,,
1903-02-01,294.0,,
1903-03-01,284.0,,
1903-04-01,281.0,,
1903-05-01,289.0,,
1903-06-01,302.0,,
1903-07-01,292.0,,
1903-08-01,277.0,,
1903-09-01,288.0,,
1903-10-01,294.0,,
1903-11-01,296.0,,
1903-12-01,302.0,,
1904-01-01,282.0,,
1904-02-01,287.0,,
1904-03-01,297.0,,
1904-04-01,290.0,,
1904-05-01,294.0,,
1904-06-01,289.0,,
1904-07-01,286.0,,
1904-08-01,299.0,,
1904-09-01,286.0,,
1904-10-01,289.0,,
1904-11-01,293.0,,
1904-12-01,290.0,,
1905-01-01,295.0,,
1905-02-01,290.0,,
1905-03-01,285.0,,
1905-04-01,294.0,,
1905-05-01,282.0,,
1905-06-01,282.0,,
1905-07-01,284.0,,
1905-08-01,292.0,,
1905-09-01,282.0,,
1905-10-01,287.0,,
1905-11-01,298.0,,
1905-12-01,290.0,,
1906-01-01,291.0,,
1906-02-01,286.0,,
1906-03-01,279.0,,
1906-04-01,290.0,,
1906-05-01,286.0,,
1906-06-01,284.0,,
1906-07-01,285.0,,
1906-08-01,280.0,,
1906-09-01,278.0,,
1906-10-01,289.0,,
1906-11-01,273.0,,
1906-12-01,286.0,,
1907-01-01,288.0,,
1907-02-01,285.0,,
1907-03-01,281.0,,
1907-04-01,286.0,,
1907-05-01,295.0,,
1907-06-01,288.0,,
1907-07-01,287.0,,
1907-08-01,293.0,,
1907-09-01,285.0,,
1907-10-01,290.0,,
1907-11-01,274.0,,
1907-12-01,289.0,,
1908-01-01,285.0,,
1908-02-01,285.0,,
1908-03-01,278.0,,
1908-04-01,274.0,,
1908-05-01,288.0,,
1908-06-01,289.0,,
1908-07-01,277.0,,
1908-08-01,280.0,,
1908-09-01,286.0,,
1908-10-01,274.0,,
1908-11-01,284.0,,
1908-12-01,286.0,,
1909-01-01,290.0,,
1909-02-01,288.0,,
1909-03-01,292.0,,
1909-04-01,279.0,,
1909-05-01,289.0,,
1909-06-01,295.0,,
1909-07-01,289.0,,
