Date,Population_Data,Regression_Data,LSTM_Data
1900-01-01,4000.0,,
1900-02-01,3850.0,,
1900-03-01,4031.0,,
1900-04-01,3985.0,,
1900-05-01,4069.0,,
1900-06-01,3989.0,,
1900-07-01,3928.0,,
1900-08-01,3937.0,,
1900-09-01,3861.0,,
1900-10-01,4070.0,,
1900-11-01,3790.0,,
1900-12-01,3862.0,,
1901-01-01,3998.0,,
1901-02-01,3905.0,,
1901-03-01,3987.0,,
1901-04-01,3796.0,,
1901-05-01,3948.0,,
1901-06-01,4033.0,,
1901-07-01,3930.0,,
1901-08-01,3863.0,,
1901-09-01,3943.0,,
1901-10-01,3828.0,,
1901-11-01,3847.0,,
1901-12-01,3847.0,,
1902-01-01,3902.0,,
1902-02-01,3937.0,,
1902-03-01,3800.0,,
1902-04-01,3921.0,,
1902-05-01,3847.0,,
1902-06-01,3922.0,,
1902-07-01,3760.0,,
1902-08-01,3757.0,,
1902-09-01,3855.0,,
1902-10-01,3710.0,,
1902-11-01,3770.0,,
1902-12-01,3662.0,,
1903-01-01,3793.0,,
1903-02-01,3756.0,,
1903-03-01,3727.0,,
1903-04-01,3735.0,,
1903-05-01,3695.0,,
1903-06-01,3654.0,,
1903-07-01,3598.0,,
1903-08-01,3699.0,,
1903-09-01,3743.0,,
1903-10-01,3612.0,,
1903-11-01,3627.0,,
1903-12-01,3596.0,,
1904-01-01,3656.0,,
1904-02-01,3651.0,,
1904-03-01,3564.0,,
1904-04-01,3609.0,,
1904-05-01,3640.0,,
1904-06-01,3730.0,,
1904-07-01,3665.0,,
1904-08-01,3615.0,,
1904-09-01,3666.0,,
1904-10-01,3705.0,,
1904-11-01,3584.0,,
1904-12-01,3627.0,,
1905-01-01,3541.0,,
1905-02-01,3668.0,,
1905-03-01,3677.0,,
1905-04-01,3555.0,,
1905-05-01,3588.0,,
1905-06-01,3643.0,,
1905-07-01,3614.0,,
1905-08-01,3518.0,,
1905-09-01,3430.0,,
1905-10-01,3582.0,,
1905-11-01,3504.0,,
1905-12-01,3532.0,,
1906-01-01,3559.0,,
1906-02-01,3489.0,,
1906-03-01,3531.0,,
1906-04-01,3639.0,,
1906-05-01,3501.0,,
1906-06-01,3580.0,,
1906-07-01,3560.0,,
1906-08-01,3475.0,,
1906-09-01,3528.0,,
1906-10-01,3401.0,,
1906-11-01,3343.0,,
1906-12-01,3485.0,,
1907-01-01,3546.0,,
1907-02-01,3327.0,,
1907-03-01,3425.0,,
1907-04-01,3418.0,,
1907-05-01,3343.0,,
1907-06-01,3353.0,,
1907-07-01,3321.0,,
1907-08-01,3463.0,,
1907-09-01,3453.0,,
1907-10-01,3363.0,,
1907-11-01,3359.0,,
1907-12-01,3351.0,,
1908-01-01,3383.0,,
1908-02-01,3320.0,,
1908-03-01,3402.0,,
1908-04-01,3320.0,,
1908-05-01,3278.0,,
1908-06-01,3355.0,,
1908-07-01,3295.0,,
1908-08-01,3212.0,,
1908-09-01,3262.0,,
1908-10-01,3333.0,,
1908-11-01,3231.0,,
1908-12-01,3348.0,,
1909-01-01,3249.0,,
1909-02-01,3174.0,,
1909-03-01,3225.0,,
1909-04-01,3132.0,,
1909-05-01,3211.0,,
1909-06-01,3228.0,,
1909-07-01,3197.0,,
1909-08-01,3194.0,,
1909-09-01,3275.0,,
1909-10-01,3146.0,,
1909-11-01,3261.0,,
1909-12-01,3061.0,,
1910-01-01,3262.0,,
1910-02-01,3235.0,,
1910-03-01,3103.0,,
1910-04-01,3062.0,,
1910-05-01,3142.0,,
1910-06-01,3119.0,,
1910-07-01,3123.0,,
1910-08-01,3123.0,,
1910-09-01,3167.0,,
1910-10-01,3119.0,,
1910-11-01,3083.0,,
1910-12-01,3076.0,,
1911-01-01,3167.0,,
1911-02-01,3066.0,,
1911-03-01,3109.0,,
1911-04-01,3075.0,,
1911-05-01,2957.0,,
1911-06-01,3045.0,,
1911-07-01,3101.0,,
1911-08-01,3067.0,,
1911-09-01,3041.0,,
1911-10-01,3044.0,,
1911-11-01,3048.0,,
1911-12-01,2863.0,,
1912-01-01,2964.0,,
1912-02-01,3051.0,,
1912-03-01,3132.0,,
1912-04-01,3014.0,,
1912-05-01,2903.0,,
1912-06-01,3052.0,,
1912-07-01,2987.0,,
1912-08-01,2976.0,,
1912-09-01,2996.0,,
1912-10-01,2956.0,,
1912-11-01,3018.0,,
1912-12-01,2987.0,,
1913-01-01,2915.0,,
1913-02-01,3023.0,,
1913-03-01,2923.0,,
1913-04-01,2883.0,,
1913-05-01,2890.0,,
1913-06-01,2817.0,,
1913-07-01,2894.0,,
1913-08-01,3106.0,,
1913-09-01,2965.0,,
1913-10-01,2908.0,,
1913-11-01,2836.0,,
1913-12-01,2888.0,,
1914-01-01,2979.0,,
1914-02-01,2874.0,,
1914-03-01,2909.0,,
1914-04-01,2785.0,,
1914-05-01,2843.0,,
1914-06-01,2947.0,,
1914-07-01,2802.0,,
1914-08-01,2841.0,,
1914-09-01,2812.0,,
1914-10-01,2859.0,,
1914-11-01,2878.0,,
1914-12-01,2751.0,,
1915-01-01,2810.0,,
1915-02-01,2842.0,,
1915-03-01,2853.0,,
1915-04-01,2802.0,,
1915-05-01,2773.0,,
1915-06-01,2767.0,,
1915-07-01,2794.0,,
1915-08-01,2818.0,,
1915-09-01,2773.0,,
1915-10-01,2786.0,,
1915-11-01,2787.0,,
1915-12-01,2797.0,,
1916-01-01,2695.0,,
1916-02-01,2664.0,,
1916-03-01,2693.0,,
1916-04-01,2727.0,,
1916-05-01,2641.0,,
1916-06-01,2714.0,,
1916-07-01,2741.0,,
1916-08-01,2770.0,,
1916-09-01,2783.0,,
1916-10-01,2652.0,,
1916-11-01,2599.0,,
1916-12-01,2648.0,,
1917-01-01,2604.0,,
1917-02-01,2777.0,,
1917-03-01,2657.0,,
1917-04-01,2562.0,,
1917-05-01,2703.0,,
1917-06-01,2731.0,,
1917-07-01,2642.0,,
1917-08-01,2608.0,,
1917-09-01,2640.0,,
1917-10-01,2531.0,,
1917-11-01,2550.0,,
1917-12-01,2649.0,,
1918-01-01,2655.0,,
1918-02-01,2515.0,,
1918-03-01,2538.0,,
1918-04-01,2623.0,,
1918-05-01,2551.0,,
1918-06-01,2599.0,,
1918-07-01,2572.0,,
1918-08-01,2480.0,,
1918-09-01,2582.0,,
1918-10-01,2580.0,,
1918-11-01,2523.0,,
1918-12-01,2586.0,,
1919-01-01,2570.0,,
1919-02-01,2480.0,,
1919-03-01,2482.0,,
1919-04-01,2561.0,,
1919-05-01,2609.0,,
1919-06-01,2506.0,,
1919-07-01,2431.0,,
1919-08-01,2440.0,,
1919-09-01,2466.0,,
