Date,Population_Data,Regression_Data,LSTM_Data,S_Data
1990-01-01,6000.0,,,
1990-02-01,5894.0,,,
1990-03-01,6045.0,,,
1990-04-01,6010.0,,,
1990-05-01,6004.0,,,
1990-06-01,5995.0,,,
1990-07-01,5903.0,,,
1990-08-01,6021.0,,,
1990-09-01,5881.0,,,
1990-10-01,5940.0,,,
1990-11-01,5903.0,,,
1990-12-01,5791.0,,,
1991-01-01,6175.0,,,
1991-02-01,5977.0,,,
1991-03-01,5727.0,,,
1991-04-01,5904.0,,,
1991-05-01,5749.0,,,
1991-06-01,5910.0,,,
1991-07-01,5901.0,,,
1991-08-01,5880.0,,,
1991-09-01,5707.0,,,
1991-10-01,5823.0,,,
1991-11-01,5674.0,,,
1991-12-01,5602.0,,,
1992-01-01,5736.0,,,
1992-02-01,5674.0,,,
1992-03-01,5870.0,,,
1992-04-01,5384.0,,,
1992-05-01,5889.0,,,
1992-06-01,5706.0,,,
1992-07-01,5734.0,,,
1992-08-01,5690.0,,,
1992-09-01,5511.0,,,
1992-10-01,5322.0,,,
1992-11-01,5681.0,,,
1992-12-01,5701.0,,,
1993-01-01,5584.0,,,
1993-02-01,5578.0,,,
1993-03-01,5606.0,,,
1993-04-01,5625.0,,,
1993-05-01,5613.0,,,
1993-06-01,5644.0,,,
1993-07-01,5532.0,,,
1993-08-01,5654.0,,,
1993-09-01,5524.0,,,
1993-10-01,5564.0,,,
1993-11-01,5581.0,,,
1993-12-01,5510.0,,,
1994-01-01,5601.0,,,
1994-02-01,5509.0,,,
1994-03-01,5537.0,,,
1994-04-01,5333.0,,,
1994-05-01,5260.0,,,
1994-06-01,5670.0,,,
1994-07-01,5657.0,,,
1994-08-01,5464.0,,,
1994-09-01,5705.0,,,
1994-10-01,5419.0,,,
1994-11-01,5516.0,,,
1994-12-01,5415.0,,,
1995-01-01,5632.0,,,
1995-02-01,5461.0,,,
1995-03-01,5386.0,,,
1995-04-01,5398.0,,,
1995-05-01,5430.0,,,
1995-06-01,5476.0,,,
1995-07-01,5437.0,,,
1995-08-01,5308.0,,,
1995-09-01,5497.0,,,
1995-10-01,5500.0,,,
1995-11-01,5576.0,,,
1995-12-01,5368.0,,,
1996-01-01,5300.0,,,
1996-02-01,5434.0,,,
1996-03-01,5552.0,,,
1996-04-01,5409.0,,,
1996-05-01,5536.0,,,
1996-06-01,5481.0,,,
1996-07-01,5410.0,,,
1996-08-01,5452.0,,,
1996-09-01,5214.0,,,
1996-10-01,5436.0,,,
1996-11-01,5228.0,,,
1996-12-01,5438.0,,,
1997-01-01,5489.0,,,
1997-02-01,5467.0,,,
1997-03-01,5379.0,,,
1997-04-01,5447.0,,,
1997-05-01,5346.0,,,
1997-06-01,5327.0,,,
1997-07-01,5450.0,,,
1997-08-01,5295.0,,,
1997-09-01,5275.0,,,
1997-10-01,5338.0,,,
1997-11-01,5268.0,,,
1997-12-01,5316.0,,,
1998-01-01,5326.0,,,
1998-02-01,5364.0,,,
1998-03-01,5611.0,,,
1998-04-01,5362.0,,,
1998-05-01,5293.0,,,
1998-06-01,5553.0,,,
1998-07-01,5299.0,,,
1998-08-01,5395.0,,,
1998-09-01,5192.0,,,
1998-10-01,5226.0,,,
1998-11-01,5394.0,,,
1998-12-01,5530.0,,,
1999-01-01,5388.0,,,
1999-02-01,5558.0,,,
1999-03-01,5255.0,,,
1999-04-01,5450.0,,,
1999-05-01,5384.0,,,
1999-06-01,5304.0,,,
1999-07-01,5345.0,,,
1999-08-01,5174.0,,,
1999-09-01,5535.0,,,
1999-10-01,5370.0,,,
1999-11-01,5461.0,,,
1999-12-01,5217.0,,,
2000-01-01,5463.0,,,
2000-02-01,5298.0,,,
2000-03-01,5370.0,,,
2000-04-01,5255.0,,,
2000-05-01,5215.0,,,
2000-06-01,5384.0,,,
2000-07-01,5197.0,,,
2000-08-01,5379.0,,,
2000-09-01,5187.0,,,
2000-10-01,5308.0,,,
2000-11-01,5125.0,,,
2000-12-01,5345.0,,,
2001-01-01,5276.0,,,
2001-02-01,5482.0,,,
2001-03-01,5323.0,,,
2001-04-01,5380.0,,,
2001-05-01,5354.0,,,
2001-06-01,5308.0,,,
2001-07-01,5400.0,,,
2001-08-01,5360.0,,,
2001-09-01,5273.0,,,
2001-10-01,5287.0,,,
2001-11-01,5268.0,,,
2001-12-01,5547.0,,,
2002-01-01,5229.0,,,
2002-02-01,5244.0,,,
2002-03-01,5461.0,,,
2002-04-01,5407.0,,,
2002-05-01,5267.0,,,
2002-06-01,5474.0,,,
2002-07-01,5348.0,,,
2002-08-01,5387.0,,,
2002-09-01,5335.0,,,
2002-10-01,5271.0,,,
