Date,Population_Data,Regression_Data,LSTM_Data,S_Data
1900-01-01,14000.0,,,
1900-02-01,14026.0,,,
1900-03-01,14422.0,,,
1900-04-01,13653.0,,,
1900-05-01,14153.0,,,
1900-06-01,14181.0,,,
1900-07-01,13846.0,,,
1900-08-01,13965.0,,,
1900-09-01,14133.0,,,
1900-10-01,14151.0,,,
1900-11-01,14220.0,,,
1900-12-01,13269.0,,,
1901-01-01,13813.0,,,
1901-02-01,13945.0,,,
1901-03-01,13858.0,,,
1901-04-01,14091.0,,,
1901-05-01,14183.0,,,
1901-06-01,14363.0,,,
1901-07-01,13651.0,,,
1901-08-01,14026.0,,,
1901-09-01,14088.0,,,
1901-10-01,13706.0,,,
1901-11-01,13363.0,,,
1901-12-01,14240.0,,,
1902-01-01,13963.0,,,
1902-02-01,13627.0,,,
1902-03-01,13822.0,,,
1902-04-01,13946.0,,,
1902-05-01,14335.0,,,
1902-06-01,13888.0,,,
1902-07-01,14234.0,,,
1902-08-01,14394.0,,,
1902-09-01,14651.0,,,
1902-10-01,13950.0,,,
1902-11-01,13882.0,,,
1902-12-01,14282.0,,,
1903-01-01,13980.0,,,
1903-02-01,14083.0,,,
1903-03-01,13913.0,,,
1903-04-01,14111.0,,,
1903-05-01,14123.0,,,
1903-06-01,13548.0,,,
1903-07-01,14028.0,,,
1903-08-01,14034.0,,,
1903-09-01,13791.0,,,
1903-10-01,14227.0,,,
1903-11-01,14008.0,,,
1903-12-01,13559.0,,,
1904-01-01,13769.0,,,
1904-02-01,13670.0,,,
1904-03-01,14286.0,,,
1904-04-01,13589.0,,,
1904-05-01,14064.0,,,
1904-06-01,14508.0,,,
1904-07-01,13886.0,,,
1904-08-01,14069.0,,,
1904-09-01,14559.0,,,
1904-10-01,13893.0,,,
1904-11-01,13666.0,,,
1904-12-01,13764.0,,,
1905-01-01,14079.0,,,
1905-02-01,14357.0,,,
1905-03-01,14084.0,,,
1905-04-01,14043.0,,,
1905-05-01,14052.0,,,
1905-06-01,14117.0,,,
1905-07-01,13899.0,,,
1905-08-01,14203.0,,,
1905-09-01,14261.0,,,
1905-10-01,13670.0,,,
1905-11-01,13564.0,,,
1905-12-01,14106.0,,,
1906-01-01,13947.0,,,
1906-02-01,13848.0,,,
1906-03-01,14124.0,,,
1906-04-01,14648.0,,,
1906-05-01,14305.0,,,
1906-06-01,13743.0,,,
1906-07-01,13832.0,,,
1906-08-01,14070.0,,,
1906-09-01,13710.0,,,
1906-10-01,13651.0,,,
1906-11-01,13489.0,,,
1906-12-01,14131.0,,,
1907-01-01,13829.0,,,
1907-02-01,13865.0,,,
1907-03-01,13912.0,,,
1907-04-01,13837.0,,,
1907-05-01,14004.0,,,
1907-06-01,14367.0,,,
1907-07-01,14000.0,,,
1907-08-01,14175.0,,,
1907-09-01,14124.0,,,
1907-10-01,14047.0,,,
1907-11-01,14360.0,,,
1907-12-01,13774.0,,,
1908-01-01,14341.0,,,
1908-02-01,13453.0,,,
1908-03-01,13813.0,,,
1908-04-01,13999.0,,,
1908-05-01,13803.0,,,
1908-06-01,13930.0,,,
1908-07-01,13720.0,,,
1908-08-01,14075.0,,,
1908-09-01,13942.0,,,
1908-10-01,13538.0,,,
1908-11-01,14010.0,,,
1908-12-01,13110.0,,,
1909-01-01,13673.0,,,
1909-02-01,14282.0,,,
1909-03-01,13854.0,,,
1909-04-01,14238.0,,,
1909-05-01,14369.0,,,
1909-06-01,14098.0,,,
1909-07-01,14243.0,,,
